Id,Brands,Model,Engines,Engine_capacity_in_cc,HorsePower_in_HP,HorsePower_in_HP_2,Max_speed_in_km/h,Time_to_100kmph_sec,Price_Min,Price_Max,Seats,Torque_in_Nm,Torque_in_Nm_2,Fuel_1,Fuel_2,Fuel_3
72,Rolls royce,DAWN BLACK BADGE,V12,"6,592",624,624,250.000,4.800,"390,000.000","390,000.000",4,870,870,Petrol,NA,NA
73,Rolls royce,CULLINAN BLACK BADGE,V12,"6,749",563,563,250.000,5.100,"350,000.000","350,000.000",5,850,850,Petrol,NA,NA
74,Rolls royce,PHANTOM COUPE,V12,"6,749",563,563,250.000,5.300,"450,000.000","450,000.000",4,870,870,Petrol,NA,NA
75,Rolls royce,GHOST COUPE,V12,"6,592",591,591,250.000,4.800,"340,000.000","340,000.000",4,850,850,Petrol,NA,NA
76,Rolls royce,WRAITH COUPE,V12,"6,592",624,624,250.000,4.400,"330,000.000","330,000.000",4,870,870,Petrol,NA,NA
77,Rolls royce,DAWN CONVERTIBLE,V12,"6,592",624,624,250.000,4.900,"380,000.000","380,000.000",4,870,870,Petrol,NA,NA
78,Rolls royce,CULLINAN SUV,V12,"6,749",563,563,250.000,5.200,"320,000.000","320,000.000",5,850,850,Petrol,NA,NA
79,Mercedes,BENZ S-CLASS S 580,V8,"3,982",496,496,250.000,4.400,"116,000.000","116,000.000",5,700,700,Petrol,NA,NA
80,Mercedes,BENZ E-CLASS E 63 S,V8,"3,982",603,603,250.000,3.400,"104,000.000","104,000.000",5,850,850,Petrol,NA,NA
81,Mercedes,BENZ CLA 45 AMG,I4,"1,991",382,382,250.000,4.100,"53,000.000","53,000.000",5,500,500,Petrol,NA,NA
82,Mercedes,BENZ GLE 63 S,V8,"3,982",603,603,250.000,4.200,"113,000.000","113,000.000",5,850,850,Petrol,NA,NA
83,Mercedes,BENZ S-CLASS S 500,V6,"2,996",429,429,250.000,4.900,"109,000.000","109,000.000",5,700,700,Petrol,NA,NA
84,Mercedes,BENZ E-CLASS E 450 ,V6,"2,996",362,362,250.000,5.200,"62,000.000","62,000.000",5,500,500,Petrol,NA,NA
85,Mercedes,BENZ CLS 450,V6,"2,996",362,362,250.000,5.200,"70,000.000","70,000.000",5,500,500,Petrol,NA,NA
86,Mercedes,BENZ GT 53,V6,"2,996",429,429,250.000,4.500,"99,000.000","99,000.000",5,700,700,Petrol,NA,NA
87,Mercedes,BENZ GLE 450,V6,"2,996",362,362,250.000,5.500,"63,000.000","63,000.000",5,500,500,Petrol,NA,NA
88,Mercedes,BENZ A-CLASS A 45 S,I4,"1,991",416,416,250.000,3.900,"53,000.000","53,000.000",5,500,500,Petrol,NA,NA
89,Mercedes,BENZ C-CLASS C 43,V6,"2,996",402,402,250.000,4.700,"52,000.000","52,000.000",5,520,520,Petrol,NA,NA
90,Mercedes,BENZ E-CLASS E 350,I4,"1,991",255,255,250.000,5.700,"49,000.000","49,000.000",5,500,500,Petrol,NA,NA
91,Mercedes,BENZ GLE 350 ,I4,"1,991",255,255,250.000,6.100,"53,000.000","53,000.000",5,500,500,Petrol,NA,NA
92,Mercedes,BENZ GLC 43,V6,"2,996",402,402,250.000,4.700,"54,000.000","54,000.000",5,520,520,Petrol,NA,NA
93,Mercedes,BENZ GLA 45,I4,"1,991",382,382,250.000,4.300,"48,000.000","48,000.000",5,500,500,Petrol,NA,NA
94,Mercedes,BENZ GLC 350 ,I4,"1,991",255,255,250.000,6.100,"46,000.000","46,000.000",5,500,500,Petrol,NA,NA
95,Mercedes,BENZ GLE 53,V6,"2,996",429,429,250.000,5.200,"71,000.000","71,000.000",5,620,620,Petrol,NA,NA
96,Mercedes,BENZ S-CLASS S 350,I4,"1,991",255,255,250.000,6.500,"90,000.000","90,000.000",5,500,500,Petrol,NA,NA
97,Mercedes,BENZ EQS 53,ELECTRIC MOTOR,0,751,751,250.000,3.400,"102,000.000","102,000.000",5,950,950,Electric,NA,NA
98,Mercedes,BENZ MAYBACH S 680,V12,"5,980",630,630,250.000,4.700,"200,000.000","200,000.000",5,"1,000","1,000",Petrol,NA,NA
99,Bmw,M5 CS,V8,"4,395",627,627,305.000,3.000,"142,000.000","142,000.000",5,750,750,Petrol,NA,NA
100,Bmw,M4 GTS,I6,"2,993",493,493,305.000,3.700,"133,000.000","133,000.000",4,600,600,Petrol,NA,NA
101,Bmw,M3 COMPETITION,I6,"2,993",503,503,285.000,3.500,"76,000.000","76,000.000",5,650,650,Petrol,NA,NA
102,Bmw,M2 CS,I6,"2,993",444,444,280.000,4.000,"83,000.000","83,000.000",4,550,550,Petrol,NA,NA
103,Bmw,X5 M COMPETITION,V8,"4,935",523,523,285.000,4.100,"114,000.000","114,000.000",5,750,750,Petrol,NA,NA
104,Bmw,X3 M COMPETITION,I6,"2,993",503,503,285.000,4.100,"69,000.000","69,000.000",5,650,650,Petrol,NA,NA
105,Bmw,M8 GRAN COUPE,V8,"4,395",523,523,305.000,3.300,"146,000.000","146,000.000",5,750,750,Petrol,NA,NA
106,Bmw,M850i DRIVE COUPE,V8,"4,935",523,523,285.000,3.700,"108,000.000","108,000.000",4,750,750,Petrol,NA,NA
107,Rolls royce,DAWN BLACK BADGE VOLANTE,V12,"6,592",563,563,250.000,4.800,"398,000.000","398,000.000",4,840,840,Petrol,NA,NA
108,Rolls royce,CULLINAN BLACK BADGE SUV,V12,"6,749",563,563,250.000,5.100,"381,000.000","381,000.000",5,850,850,Petrol,NA,NA
109,Rolls royce,PHATOM TRANQUILITY,V12,"6,749",563,563,250.000,5.300,"475,000.000","475,000.000",5,900,900,Petrol,NA,NA
110,Rolls royce,GHOST ZENITH,V12,"6,749",563,563,250.000,4.900,"335,000.000","335,000.000",5,900,900,Petrol,NA,NA
111,Rolls royce,WRAITH EAGLE VIII,V12,"6,592",623,623,250.000,4.500,"349,000.000","349,000.000",4,800,800,Petrol,NA,NA
112,Rolls royce,PHATOM ORCHID,V12,"6,749",563,563,250.000,5.300,"495,000.000","495,000.000",5,900,900,Petrol,NA,NA
113,Rolls royce,GHOST AZURE,V12,"6,749",563,563,250.000,4.900,"355,000.000","355,000.000",5,900,900,Petrol,NA,NA
114,Rolls royce,WRAITH KRYPTOS,V12,"6,592",623,623,250.000,4.500,"369,000.000","369,000.000",4,800,800,Petrol,NA,NA
115,Rolls royce,DAWN SILVER BULLET,V12,"6,592",563,563,250.000,4.800,"418,000.000","418,000.000",4,840,840,Petrol,NA,NA
116,Rolls royce,CULLINAN FUX ORANGE,V12,"6,749",563,563,250.000,5.100,"401,000.000","401,000.000",5,850,850,Petrol,NA,NA
117,Rolls royce,PHANTOM CELESTIAL,V12,"6,749",563,563,250.000,5.300,"515,000.000","515,000.000",5,900,900,Petrol,NA,NA
118,Rolls royce,GHOST MYSORE,V12,"6,749",563,563,250.000,4.900,"375,000.000","375,000.000",5,900,900,Petrol,NA,NA
119,Rolls royce,WRAITH LUMINARY,V12,"6,592",623,623,250.000,4.500,"389,000.000","389,000.000",4,800,800,Petrol,NA,NA
120,Rolls royce,DAWN BLACK BADGE ADAMAS,V12,"6,592",563,563,250.000,4.800,"439,000.000","439,000.000",4,840,840,Petrol,NA,NA
121,Rolls royce,CULLINAN RED DIAMOND,V12,"6,749",563,563,250.000,5.100,"421,000.000","421,000.000",5,850,850,Petrol,NA,NA
122,Audi,R8 V10 PLUS,V10,"5,204",610,610,330.000,3.200,"194,000.000","194,000.000",2,560,560,Petrol,NA,NA
123,Audi,RS7 SPORTBACK,V8,"3,993",591,591,305.000,3.600,"114,000.000","114,000.000",5,800,800,Petrol,NA,NA
124,Audi,S8,V8,"3,993",563,563,305.000,4.300,"101,000.000","101,000.000",5,800,800,Petrol,NA,NA
125,Audi,RS6 AVANT,V8,"3,993",591,591,305.000,3.600,"109,000.000","109,000.000",5,800,800,Petrol,NA,NA
126,Audi,S7 SPORTBACK,V8,"3,993",563,563,305.000,4.300,"96,000.000","96,000.000",5,650,650,Petrol,NA,NA
127,Audi,A8,V6,"2,995",335,335,250.000,5.700,"86,000.000","86,000.000",5,600,600,Petrol,NA,NA
128,Audi,S5 COUPE,V6,"2,995",349,349,250.000,4.800,"64,000.000","64,000.000",4,500,500,Petrol,NA,NA
129,Audi,SQ5,V6,"2,995",349,349,250.000,5.400,"62,000.000","62,000.000",5,500,500,Petrol,NA,NA
130,Audi,S4 SEDAN,V6,"2,995",349,349,250.000,4.700,"59,000.000","59,000.000",5,500,500,Petrol,NA,NA
131,Audi,S3 SEDAN,I4,"1,984",306,306,250.000,4.800,"52,000.000","52,000.000",5,400,400,Petrol,NA,NA
132,Audi,Q7,V6,"2,995",335,335,250.000,6.300,"60,000.000","60,000.000",7,600,600,Petrol,NA,NA
133,Audi,Q5,I4,"1,984",248,248,240.000,6.300,"43,000.000","43,000.000",5,500,500,Petrol,NA,NA
134,Audi,A7,V6,"2,995",335,335,250.000,5.700,"68,000.000","68,000.000",5,600,600,Petrol,NA,NA
135,Audi,A6,V6,"2,995",335,335,250.000,5.700,"58,000.000","58,000.000",5,600,600,Petrol,NA,NA
136,Audi,A5 COUPE,I4,"1,984",248,248,240.000,6.300,"45,000.000","45,000.000",4,500,500,Petrol,NA,NA
137,Audi,A4,I4,"1,984",248,248,240.000,6.500,"39,000.000","39,000.000",5,400,400,Petrol,NA,NA
138,Audi,Q3,I4,"1,984",248,248,230.000,7.300,"35,000.000","35,000.000",5,400,400,Petrol,NA,NA
139,Audi,E-TRON,ELECTRIC ,0,402,402,200.000,5.500,"75,000.000","75,000.000",5,664,664,Electric,NA,NA
140,Audi,E-TRON SPORTBACK,ELECTRIC,0,402,402,200.000,5.500,"78,000.000","78,000.000",5,664,664,Electric,NA,NA
141,Audi,TT COUPE,I4,"1,984",248,248,250.000,5.300,"49,000.000","49,000.000",2,400,400,Petrol,NA,NA
142,Bmw,I8 ROADSTER,ELECTRIC MOTOR,0,369,369,250.000,4.400,"165,000.000","165,000.000",2,570,570,Hybrid,NA,NA
143,Bmw,330i,I4,"1,998",255,255,250.000,5.600,"45,000.000","45,000.000",5,400,400,Petrol,NA,NA
144,Bmw,M340i XDRIVE,I6,"2,998",382,382,250.000,4.100,"57,000.000","57,000.000",5,500,500,Petrol,NA,NA
145,Bmw,430i COUPE,I4,"1,998",255,255,250.000,5.800,"48,000.000","48,000.000",4,400,400,Petrol,NA,NA
146,Bmw,M4 COMPETITION,I6,"2,993",503,503,290.000,3.800,"81,000.000","81,000.000",4,650,650,Petrol,NA,NA
147,Bmw,530i,I4,"1,998",248,248,250.000,5.900,"57,000.000","57,000.000",5,400,400,Petrol,NA,NA
148,Bmw,M550i XDRIVE,V8,"4,395",523,523,250.000,3.600,"78,000.000","78,000.000",5,650,650,Petrol,NA,NA
149,Bmw,118i,I3,"1,499",136,136,213.000,8.500,"32,000.000","32,000.000",5,220,220,Petrol,NA,NA
150,Bmw,128ti,I4,"1,998",261,261,250.000,6.100,"42,000.000","42,000.000",5,400,400,Petrol,NA,NA
151,Bmw,M135i XDRIVE,I4,"1,998",302,302,250.000,4.800,"30,000.000","30,000.000",5,450,450,Petrol,NA,NA
152,Bmw,116D,I3,"1,496",116,116,200.000,10.300,"30,000.000","30,000.000",5,280,280,Diesel,NA,NA
153,Bmw,120D XDRIVE,I4,"1,995",190,190,230.000,6.900,"38,000.000","38,000.000",5,400,400,Diesel,NA,NA
154,Bmw,116i,I3,"1,499",109,109,200.000,10.900,"28,000.000","28,000.000",5,200,200,Petrol,NA,NA
155,Bmw,118D,I4,"1,995",150,150,216.000,8.400,"34,000.000","34,000.000",5,380,380,Diesel,NA,NA
156,Bmw,120i,I4,"1,998",178,178,230.000,7.100,"37,000.000","37,000.000",5,300,300,Petrol,NA,NA
157,Bmw,125i,I4,"1,998",224,224,240.000,6.100,"42,000.000","42,000.000",5,400,400,Petrol,NA,NA
158,Bmw,114D,I3,"1,496",95,95,185.000,12.200,"27,000.000","27,000.000",5,270,270,Diesel,NA,NA
159,Bmw,114i,I4,"1,598",102,102,195.000,11.200,"26,000.000","26,000.000",5,200,200,Petrol,NA,NA
160,Bmw,125D,I4,"1,995",224,224,240.000,6.300,"44,000.000","44,000.000",5,400,400,Diesel,NA,NA
161,Bmw,118i XDRIVE,I3,"1,499",136,136,211.000,8.900,"34,000.000","34,000.000",5,250,250,Petrol,NA,NA
162,Bmw,116D EFFICIENTDYNAMICS,I3,"1,496",116,116,200.000,10.900,"30,000.000","30,000.000",5,270,270,Diesel,NA,NA
163,Bmw,118i SPORTLINE,I3,"1,499",136,136,213.000,8.500,"35,000.000","35,000.000",5,250,250,Petrol,NA,NA
164,Bmw,118i M SPORT,I3,"1,499",136,136,213.000,8.500,"37,000.000","37,000.000",5,250,250,Petrol,NA,NA
165,Bmw,120i M SPORT,I4,"1,998",178,178,230.000,7.100,"39,000.000","39,000.000",5,300,300,Petrol,NA,NA
166,Bmw,116i EFFICIENTDYNAMICS,I4,"1,598",109,109,195.000,10.900,"29,000.000","29,000.000",5,200,200,Petrol,NA,NA
167,Bmw,116D ADVANTAGE,I3,"1,496",116,116,200.000,10.500,"31,000.000","31,000.000",5,270,270,Diesel,NA,NA
168,Bmw,120D EFFICIENTDYNAMICS,I4,"1,995",163,163,225.000,7.700,"39,000.000","39,000.000",5,400,400,Diesel,NA,NA
169,Bmw,118i SHADOW LINE,I3,"1,499",136,136,213.000,8.500,"36,000.000","36,000.000",5,250,250,Petrol,NA,NA
170,Bmw,118D SPORT LINE,I4,"1,995",150,150,216.000,8.400,"36,000.000","36,000.000",5,380,380,Diesel,NA,NA
171,Bmw,120i XDRIVE,I4,"1,998",178,178,230.000,7.200,"40,000.000","40,000.000",5,300,300,Petrol,NA,NA
172,Bmw,114D SPORT LINE,I3,"1,496",95,95,185.000,12.200,"28,000.000","28,000.000",5,270,270,Diesel,NA,NA
173,Bmw,118i URBAN LINE,I3,"1,499",136,136,213.000,8.500,"35,000.000","35,000.000",5,250,250,Petrol,NA,NA
174,Volvo,XC90,I6,"1,969",247,247,200.000,6.500,"60,000.000","60,000.000",7,400,400,Petrol,Diesel,NA
175,Volvo,XC60,I6,"1,969",247,247,220.000,6.400,"55,000.000","55,000.000",5,400,400,Petrol,Diesel,NA
176,Volvo,S90,I6,"1,969",295,295,250.000,5.900,"60,000.000","60,000.000",5,400,400,Petrol,Diesel,NA
177,Kia,SPORTAGE LX,I4,"2,480",187,187,200.000,8.000,"27,000.000","27,000.000",5,250,250,Petrol,NA,NA
178,Kia,SPORTAGE EX,I4,"2,480",187,187,200.000,8.000,"30,000.000","30,000.000",5,250,250,Petrol,NA,NA
179,Kia,SPORTAGE GT-LINE,I4,"2,480",187,187,200.000,8.000,"32,000.000","32,000.000",5,350,350,Petrol,NA,NA
180,Kia,SPORTAGE SX TURBO,I4,"1,998",240,240,210.000,6.700,"36,000.000","36,000.000",5,400,400,Petrol,NA,NA
181,Kia,SPORTAGE NIGHTFALL EDITION,I4,"2,480",187,187,200.000,8.000,"33,000.000","33,000.000",5,350,350,Petrol,NA,NA
182,Honda,CIVIC TYPE R,I4,"1,996",315,315,272.000,5.700,"44,000.000","44,000.000",5,400,400,Petrol,NA,NA
183,Kia,SPORTAGE PHEV,I4 + ELECTRIC,0,261,261,180.000,8.000,"41,000.000","41,000.000",5,350,350,Petrol,Hybrid,Diesel
184,Kia,SPORTAGE 2024(BASE MODEL),I4,"2,480",187,187,200.000,8.000,"26,000.000","26,000.000",5,250,250,Petrol,NA,NA
185,Kia,SPORTAGE 2024(TOP TRIM),I4,"1,998",240,240,210.000,6.700,"38,000.000","38,000.000",5,400,400,Petrol,NA,NA
186,Kia,SPORTAGE 2024(BASE AWD),I4,"2,480",187,187,200.000,8.300,"29,000.000","29,000.000",5,250,250,Petrol,Hybrid,Electric
187,Kia,SPORTAGE X-LINE,I4,"2,480",187,187,200.000,8.000,"32,500.000","32,500.000",5,350,350,Petrol,NA,NA
188,Kia,SPORTAGE 2024(S TRIM),I4,"2,480",187,187,200.000,8.200,"28,000.000","28,000.000",5,250,250,Petrol,NA,NA
189,Honda,ACCORD,I4,"1,498",192,192,201.000,7.100,"29,400.000","29,400.000",5,370,370,Petrol,NA,NA
190,Kia,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,0,227,227,180.000,8.000,"37,000.000","37,000.000",5,350,350,Hybrid,NA,NA
191,Kia,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,0,261,261,180.000,7.900,"42,000.000","42,000.000",5,350,350,Petrol,Hybrid,Diesel
192,Kia,SPORTAGE 2024(X-PRO),I4,"2,480",187,187,200.000,8.100,"36,000.000","36,000.000",5,400,400,Petrol,NA,NA
193,Kia,SPORTAGE 2024(X-PRO PRESTIGE),I4,"2,480",187,187,200.000,8.100,"38,000.000","38,000.000",5,400,400,Petrol,NA,NA
194,Kia,SPORTAGE 2024(SX TURBO AWD),I4,"1,998",240,240,210.000,6.500,"40,000.000","40,000.000",5,400,400,Petrol,Hybrid,Electric
195,Kia,SPORTAGE 2024(BASE FWD),I4,"2,480",187,187,200.000,8.500,"26,500.000","26,500.000",5,250,250,Petrol,NA,NA
196,Honda,CR-V,I4,"1,498",190,190,186.000,8.200,"30,000.000","30,000.000",5,400,400,Petrol,Hybrid,NA
197,Honda,PILOT,V6,"3,471",285,285,209.000,6.300,"40,000.000","40,000.000",8,360,360,Petrol,NA,NA
198,Honda,CIVIC HATCHBACK,I4,"1,498",180,180,220.000,6.800,"26,350.000","26,350.000",5,300,300,Petrol,NA,NA
199,Toyota,CAMRY,V6,"3,500",301,301,220.000,6.000,"27,000.000","27,000.000",5,250,250,Petrol,Hybrid,NA
200,Toyota,COROLLA,I4,"1,798",139,139,180.000,9.400,"22,500.000","22,500.000",5,200,200,Petrol,Hybrid,NA
201,Toyota,PRIUS,I4,"1,798",121,121,180.000,10.500,"26,700.000","26,700.000",5,142,142,Hybrid,NA,NA
202,Toyota,RAV4,I4,"2,494",203,203,200.000,8.100,"27,100.000","27,100.000",5,400,400,Petrol,Hybrid,NA
203,Toyota,HIGHLANDER,V6,"3,456",295,295,220.000,7.200,"38,400.000","38,400.000",7,370,370,Petrol,Hybrid,NA
204,Toyota,4RUNNER ,V6,"3,956",270,270,200.000,7.500,"37,400.000","37,400.000",5,400,400,Petrol,NA,NA
205,Toyota,TACOMA,I4,"2,694",159,159,180.000,9.500,"26,400.000","26,400.000",5,400,400,Petrol,NA,NA
206,Toyota,TUNDRA,V8,"5,663",381,381,220.000,6.700,"39,900.000","39,900.000",5,650,650,Petrol,NA,NA
207,Toyota,AVALON,V6,"3,456",301,301,220.000,6.900,"41,400.000","41,400.000",5,400,400,Petrol,NA,NA
208,Toyota,MIRAI,I4,"1,798",151,151,180.000,9.200,"52,400.000","52,400.000",5,335,335,Hydrogen,NA,NA
209,Toyota,SIENNA,V6,"2,494",245,245,190.000,8.000,"44,150.000","44,150.000",7,360,360,Petrol,Hybrid,NA
210,Toyota,VENZA,I4,"2,494",219,219,200.000,7.500,"33,400.000","33,400.000",5,400,400,Hybrid,NA,NA
211,Toyota,HIGHLANDER HYBRID,V6,"3,456",240,240,220.000,8.200,"40,400.000","40,400.000",7,350,350,Hybrid,NA,NA
212,Toyota,LAND CRUISER PRADO,V6,"3,956",282,282,200.000,7.200,"49,400.000","49,400.000",7,450,450,Petrol,Diesel,NA
213,Toyota,TUNDRA HYBRID,V6,"3,456",344,344,220.000,6.200,"43,400.000","43,400.000",5,650,650,Hybrid,NA,NA
214,Toyota,YARIS,I4,"1,496",106,106,180.000,11.200,"18,400.000","18,400.000",5,150,150,Petrol,NA,NA
215,Toyota,C-HR,I4,"1,986",144,144,200.000,10.200,"24,400.000","24,400.000",5,250,250,Petrol,Hybrid,NA
216,Toyota,BZ4X,ELECTRIC,0,218,218,200.000,7.500,"43,400.000","43,400.000",5,330,330,Electric,NA,NA
217,Toyota,CROWN,HYBRID,"2,494",236,236,200.000,7.600,"38,400.000","38,400.000",5,400,400,Hybrid,NA,NA
218,Toyota,MR2,I4,"1,986",168,168,200.000,6.900,"29,000.000","29,000.000",2,400,400,Petrol,NA,NA
219,Toyota,CELICA,I4,"1,986",140,140,200.000,8.500,"25,000.000","25,000.000",5,250,250,Petrol,NA,NA
220,Honda,CITY,I4,"1,497",119,119,180.000,10.200,"15,400.000","15,400.000",5,145,145,Petrol,Hybrid,NA
221,Honda,CIVIC,I4,"1,996",158,158,200.000,8.500,"20,400.000","20,400.000",5,400,400,Petrol,NA,NA
222,Hyundai,I10,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197",87,87,160.000,12.200,"12,400.000","12,400.000",5,120,120,Petrol,NA,NA
223,Hyundai,I20,"1.4L,4-CYLINDER,INLINE-4(I4)","1,396",99,99,180.000,10.500,"15,400.000","15,400.000",5,250,250,Petrol,Hybrid,NA
224,Hyundai,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)","1,999",147,147,200.000,9.500,"18,400.000","18,400.000",5,250,250,Petrol,Hybrid,NA
225,Mahindra,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179",155,155,180.000,10.500,"18,400.000","18,400.000",7,400,400,Diesel,NA,NA
226,Mahindra,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179",140,140,160.000,11.200,"16,400.000","16,400.000",7,280,280,Diesel,NA,NA
227,Mahindra,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)","1,997",150,150,180.000,10.500,"20,400.000","20,400.000",4,320,320,Petrol,Diesel,NA
228,Maruti suzuki,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197",83,83,160.000,12.200,"10,400.000","10,400.000",5,113,113,Petrol,NA,NA
229,Maruti suzuki,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197",83,83,160.000,12.200,"11,400.000","11,400.000",5,113,113,Petrol,Diesel,NA
230,Maruti suzuki,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)","1,462",103,103,180.000,11.500,"14,400.000","14,400.000",5,200,200,Petrol,NA,NA
231,Toyota,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM","1,998",220,220,180.000,6.700,"31,100.000","31,100.000",5,220,220,Petrol,Hybrid,Diesel
232,Toyota,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3","1,618",300,300,230.000,5.000,"36,995.000","36,995.000",5,370,370,Petrol,NA,NA
233,Toyota,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL","3,346",305,305,210.000,6.800,"58,500.000","58,500.000",7,650,650,Petrol,Diesel,NA
234,Toyota,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO","3,445",437,437,180.000,6.200,"56,000.000","56,000.000",5,750,750,Hybrid,NA,NA
235,Toyota,COROLLA HATCHBACK XSE,"2.0L,INLINE-4","1,987",169,169,190.000,8.200,"25,390.000","25,390.000",5,250,250,Petrol,NA,NA
236,Toyota,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",0,152,152,180.000,9.000,"49,500.000","49,500.000",5,335,335,Hydrogen,NA,NA
237,Toyota,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755",224,224,170.000,10.000,"50,000.000","50,000.000",5,500,500,Petrol,Diesel,NA
238,Toyota,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6",0,296,296,180.000,8.500,"60,000.000","60,000.000",7,400,400,Petrol,NA,NA
239,Toyota,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755",204,204,175.000,10.500,"55,000.000","55,000.000",7,500,500,Diesel,Petrol,NA
240,Toyota,INNOVA HYCROSS,2.0L HYBRID,"1,987",184,184,165.000,9.500,"40,000.000","40,000.000",7,250,250,Hybrid,NA,NA
241,Toyota,COASTER,"4.0L,DIESEL","4,009",134,134,120.000,0.000,"70,000.000","70,000.000",20,500,500,Diesel,NA,NA
242,Toyota,URBAN CRUISER TAISOR,"1.5L,HYBRID","1,490",114,114,170.000,11.000,"25,000.000","25,000.000",5,130,130,Petrol,NA,NA
243,Toyota,AYGO X,"1.0L,INLINE-3",998,71,71,160.000,14.800,"18,000.000","18,000.000",4,93,93,Petrol,NA,NA
244,Toyota,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL","2,755",204,204,175.000,10.000,"50,000.000","50,000.000",5,500,500,Diesel,NA,NA
245,Toyota,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,0,136,136,130.000,13.500,"55,000.000","55,000.000",7,280,280,Electric,NA,NA
246,Toyota,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID","3,456",406,406,200.000,6.000,"170,000.000","170,000.000",5,500,500,Petrol,NA,NA
247,Toyota,COROLLA SEDAN HYBRID,"1.8L,HYBRID","1,798",134,134,180.000,10.000,"24,000.000","24,000.000",5,300,300,Hybrid,NA,NA
248,Toyota,BZ3,ELECTRIC MOTOR,0,241,241,160.000,7.500,"35,000.000","35,000.000",5,340,340,Electric,NA,NA
249,Toyota,GR YARIS,"1.6L,TURBOCHARGED INLINE-3","1,618",268,268,230.000,5.500,"45,000.000","45,000.000",4,390,390,Petrol,NA,NA
250,Hyundai,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600",253,253,180.000,9.300,"50,000.000","50,000.000",7,420,420,Petrol,Hybrid,NA
251,Hyundai,IONIQ 5,ELECTRIC MOTOR,0,225,225,185.000,7.400,"41,000.000","41,000.000",5,350,350,Electric,NA,NA
252,Hyundai,Santa Cruz,2.5L Turbocharged Inline-4,"2,500",281,281,215.000,6.500,"40,799.000","40,799.000",5,400,400,Petrol,NA,NA
253,Hyundai,Kona,1.6L PETROL ,"1,591",147,147,185.000,10.000,"20,500.000","20,500.000",5,400,400,Petrol,Electric,NA
254,Hyundai,Elantra,2.0L Inline-4,"2,000",147,147,210.000,8.300,"19,950.000","19,950.000",5,250,250,Petrol,Hybrid,NA
255,Nissan,Urvan,2.5L Turbo Diese,0,0,0,140.000,14.000,"28,000.000","28,000.000",15,356,356,Diesel,NA,NA
256,Hyundai,IONIQ 6,Electric Motor,0,320,320,185.000,5.200,"41,450.000","41,450.000",5,350,350,Electric,NA,NA
257,Hyundai,Tucson,2.5L Inline-4,"2,500",187,187,180.000,6.100,"30,500.000","30,500.000",5,400,400,Petrol,Hybrid,NA
258,Hyundai,Palisade,3.8L V6,"3,800",291,291,240.000,6.300,"52,000.000","52,000.000",7,355,355,Petrol,NA,NA
259,Hyundai,Sonata,2.5L Inline-4,"2,500",191,191,240.000,8.000,"25,000.000","25,000.000",5,250,250,Petrol,Hybrid,NA
260,Hyundai,Accent,1.6L Inline-4,"1,600",120,120,180.000,9.800,"15,000.000","15,000.000",5,151,151,Petrol,NA,NA
261,Hyundai,Venue,1.6L Inline-4,"1,600",121,121,180.000,9.500,"18,000.000","18,000.000",5,240,240,Petrol,NA,NA
262,Hyundai,KONA Electric,Electric Motor,0,200,200,200.000,6.100,"40,000.000","40,000.000",5,395,395,Electric,NA,NA
263,Hyundai,Veloster,2.0L Inline-4,"2,000",275,275,220.000,6.000,"25,000.000","25,000.000",4,264,264,Petrol,NA,NA
264,Hyundai,NEXO,Electric Motor,0,161,161,180.000,7.800,"38,000.000","38,000.000",5,400,400,Hydrogen,NA,NA
265,Hyundai,Ioniq,1.6L Inline-4,"1,600",139,139,160.000,8.500,"18,000.000","18,000.000",5,295,295,Hybrid,Electric,NA
266,Hyundai,Genesis,3.8L V6,"3,800",291,291,240.000,6.300,"52,000.000","52,000.000",5,400,400,Petrol,NA,NA
267,Hyundai,Azera,3.3L V6,"3,300",278,278,240.000,6.500,"55,000.000","55,000.000",5,250,250,Petrol,NA,NA
